OBJECTID,ADDRESS,OWNER1,OWNER2,BLDG_DESC,OPA_ID,LNIADDRESSKEY,COUNCILDISTRICT,ZONINGBASEDISTRICT,ZIPCODE,LAND_RANK,Shape__Area,Shape__Length
41,2440 N 2ND ST,NORRIS SQUARE CIVIC ASSOC,,VAC LAND COMM. < ACRE,885216440,732646,7,CMX-2,19133,0.5,193.109375,70.5927978081232
42,1549 N 9TH ST,PHILADELPHIA LAND BANK   ,,VAC LAND RES < ACRE,202148600,647415,5,RM-1,19122,0.67,123.51953125,55.0312493072866
43,1713 W NORRIS ST,CITY OF PHILA            ,DEPT OF PUBLC PROP       ,VAC LAND RES < ACRE,321152701,452357,5,RM-1,19121,0.5,183.66796875,66.3050623875156
44,2348 N 18TH ST,LADA PROPERTIES          ,,VAC LAND RES < ACRE,162006000,665700,5,RSA-5,19132,0.5,170.6171875,68.1103974302256
45,2021 GERMANTOWN AVE,PENSCO TRUST COMPANY LLC ,PENSCO TRUST COMPANY LLC ,VAC LAND COMM. < ACRE,885199680,309159,7,CMX-2,19122,0.5,202.41796875,75.1476102535725
46,3115 N 13TH ST,FRIENDZ INC              ,,VAC LAND RES < ACRE,431157900,656124,5,RM-1,19133,0.5,198.8671875,79.2817193179556
47,2518 N ALDER ST,VILLAGE OF ARTS          ,AND HUMANITIES           ,VAC LAND RES < ACRE,371172601,730126,5,RM-1,19133,0.5,109.578125,50.2515896118831
48,4927 OLIVE ST,DENOS LLC                ,,VAC LAND RES < ACRE,441240400,458734,3,RSA-5,19139,0.83,144.52734375,62.8059148016994
49,3418 N 21ST ST,JACKSON HATTIE           ,REGINALD                 ,VAC LAND RES < ACRE,112301600,672476,8,RSA-5,19140,0.67,253.2890625,89.2859104080752
50,2230 REED ST,CITY OF PHILA,DEPT OF PUBLC PROP,VAC LAND RES < ACRE,364001405,498139,2,RM-1,19146,0.67,142.1640625,62.819846722005
51,5924 MARKET ST,SINGHAL RUPALI           ,,VAC LAND COMM. < ACRE,885003360,411119,3,CMX-3,19139,0.67,220.453125,80.6169379753988
52,838 UNION ST,CITY OF PHILA,,VAC LAND RES < ACRE,243154710,582484,3,RSA-5,19104,0.67,166.22265625,73.1724898706816
53,317 E ASHMEAD ST,ASHMEAD PARTNERS LLC,,VAC LAND RES < ACRE,121098000,23055,8,RM-1,19144,0.5,168.06640625,71.7961322457618
54,2732 N BONSALL ST,TENDER HARRY             ,TENDER LISA GWYNN        ,VAC LAND RES < ACRE,111397000,42517,8,RSA-5,19132,0.67,102.9375,47.3642419429331
55,3201 W DAKOTA ST,FAISON CHARLYN KASANDRA,,VAC LAND RES < ACRE,282309700,107569,5,RSA-5,19132,0.83,155.86328125,60.9047171760732
56,1708 N 42ND ST,PHILADELPHIA LAND BANK   ,,VAC LAND RES < ACRE,062294910,687126,3,RSA-5,19104,1,168.34375,67.7911052727962
57,2407 N ORKNEY ST,VILLAMAR JOSSUE          ,,VAC LAND RES < ACRE,191279901,462476,7,RSA-5,19133,0.5,75.30859375,38.6887417071092
58,1400 S 24TH ST,V2 PROPERTIES ENTITY 1 LL,,VAC LAND RES < ACRE,364139900,677359,2,CMX-1,19146,0.5,160.82421875,61.5415576405205
59,7519 RIDGE AVE,DELMONTE JOSEPH          ,,VAC LAND RES < ACRE,214138500,505082,4,RSA-3,19128,0.5,5965.390625,388.979732639231
60,2540 N 9TH ST,GRIMBLE MOZELL           ,,VAC LAND RES < ACRE,371133600,647621,5,RM-1,19133,0.67,183.41015625,76.2675462809743
61,3925 MOUNT VERNON ST,SAMUEL T SMITH           ,WILLARLEE                ,VAC LAND RES < ACRE,242213400,443319,3,RSA-5,19104,0.5,171.4609375,72.0593284509179
62,1548 S CAPITOL ST,PHILADELPHIA LAND BANK   ,,VAC LAND RES < ACRE,363255605,64408,2,RSA-5,19146,0.67,95.8203125,46.5215603200176
63,1714 N 26TH ST,LOTS AND FOUND LLC       ,,VAC LAND RES < ACRE,324108100,678740,5,RSA-5,19121,0.5,144.14453125,61.1289321996169
64,3905 WYALUSING AVE,GEENA LLC                ,,VAC LAND RES < ACRE,243189600,625636,3,RSA-5,19104,1,101.140625,47.0034864770898
65,2931 W OAKDALE ST,JAMES CHERRY,FLORA,VAC LAND RES < ACRE,282374000,454420,5,RSA-5,19132,0.67,94.89453125,46.4697212584419
66,2565 N NAPA ST,BID PROPERTIES LLC       ,,VAC LAND RES < ACRE,282153700,445887,5,RSA-5,19132,1,104.0078125,49.335318917426
67,2512 N 10TH ST,PHILA HOUSING AUTHORITY  ,,VAC LAND COMM. < ACRE,371168401,732909,5,CMX-2,19133,0.5,168.13671875,65.5615237227682
68,5831 MAGNOLIA ST,INN DWELLING INC,,VAC LAND RES < ACRE,591191615,406462,8,RSA-5,19144,0.67,252.94140625,84.8336221217605
69,2433 N NEWKIRK ST,STRAWBERRY MANSION,CITIZENS COUNCIL,VAC LAND RES < ACRE,281121100,450049,5,RSA-5,19132,0.5,111.1796875,51.9712469154097
70,82 E WISTER ST,CITY OF PHILA,,VAC LAND RES < ACRE,121048910,619728,8,RSA-5,19144,0.67,187.07421875,76.0182373922533
71,2305-07 N SYDENHAM ST,CALVARY APOSTOLIC        ,TEMPLE CORP              ,VAC LAND RES < ACRE,161044600,560029,5,RM-1,19132,1,896.453125,120.326111598403
72,1320 W BRISTOL ST,KONE HOLDINGS LLC        ,,VAC LAND RES < ACRE,433207600,49955,5,RM-1,19140,1,277.46875,85.3482539421093
73,4563 STILES ST,ZHU JUAN LING            ,,VAC LAND RES < ACRE,231036200,554847,7,RSA-5,19124,0.67,326.86328125,96.000653376344
74,4432 N ORIANNA ST,RENTAS GLENN XAVIER VENTU,,VAC LAND RES < ACRE,072140600,462059,7,RSA-5,19140,0.83,120.35546875,50.8159022565358
75,2717 FEDERAL ST,MACRILLO JOHN            ,,VAC LAND IND < ACRE,885400980,287774,2,I-2,19146,0.67,181.74609375,72.7451118357398
76,1831 S ALLISON ST,BEL MANAG INC            ,,VAC LAND RES < ACRE,514210000,11946,3,RSA-5,19143,0.83,111.47265625,50.7907531084907
77,1935R CECIL B MOORE AVE,HAZLETT DORTHY G,,VAC LAND RES < ACRE,472065601,71619,5,CMX-2,19121,0.5,138.421875,50.4611100992863
78,132 S 60TH ST,SARGEANT SIA             ,,VAC LAND COMM. < ACRE,885123504,699957,3,CMX-3,19139,0.83,197.03125,75.8310291433998
79,1951 E CAMBRIA ST,PARKS JOYCELYN           ,,VAC LAND COMM. < ACRE,885325580,62350,7,CMX-1,19134,0.67,208.08984375,82.6281908126833
80,1916 N STANLEY ST,INFINITY RE HOLDINGS III ,,VAC LAND RES < ACRE,323276100,551096,5,RSA-5,19121,0.5,107.0234375,49.2880286491956
81,5433-35 W THOMPSON ST,CITY OF PHILADELPHIA,,VAC LAND RES < ACRE,041220210,570687,4,RM-1,19131,0.67,968.08984375,129.818539085056
82,143 E COULTER ST,MACKINS TREVOR           ,,VAC LAND RES < ACRE,122025000,100764,8,RSA-3,19144,0.5,1205.640625,211.651761129815
83,1612 S 57TH ST,ATA7 REAL ESTATE SALES & ,,VAC LAND RES < ACRE,513148100,697392,3,RSA-5,19143,0.5,227.48046875,87.8985842621748
84,6073 N NORWOOD ST,THOMAS A MOOREHEAD,,VAC LAND RES < ACRE,172471800,453274,8,RSA-5,19138,0.67,298.421875,88.4956591548961
85,1812 N 24TH ST,PHILA HOUSING AUTHORITY,,VAC LAND RES < ACRE,322147401,676551,5,RSA-5,19121,1,186.18359375,71.4993952084617
86,1044 W STELLA ST,ANTIQUE REALTY CO INC.   ,,VAC LAND RES < ACRE,372408500,552823,5,RM-1,19133,0.67,99.14453125,46.9131189784117
87,4408 LANCASTER AVE,MINUS LEONARD M          ,,VAC LAND COMM. < ACRE,885058660,377540,3,CMX-2,19104,0.67,200.609375,70.7416155372325
88,1443 S 32ND ST,PHILADELPHIA LAND BANK   ,,VAC LAND RES < ACRE,364459100,684509,2,RSA-5,19146,0.83,129.1796875,54.1844466710332
89,4969 SHELDON ST,SUTTON EUGENE A,,VAC LAND RES < ACRE,121184500,534192,8,RSA-5,19144,0.67,379.34375,126.083430301343
90,1010 FAIRMOUNT AVE,PHILY PROPERTIES LLC     ,,VAC LAND RES < ACRE,141329600,283185,5,RSA-5,19123,0.5,266.83984375,91.6112993088376
91,4326 LEIPER ST,JAMES H HOWARTH,CATHERINE,VAC LAND RES < ACRE,234256200,388190,7,RSA-5,19124,0.67,140.9921875,87.4439969777291
92,4618 N 11TH ST,FRISBY CYNTHIA,,VAC LAND RES < ACRE,491406800,652353,8,RSA-5,19140,0.67,206.3671875,79.6092948183863
93,307 E TUSCULUM ST,STANDARD DEVELOPMENT LLC ,,VAC LAND RES < ACRE,071193300,580306,7,RM-1,19134,1,117.34375,54.9263389568796
94,3302 GERMANTOWN AVE,SCHEID WILLIAM H         ,,VAC LAND COMM. < ACRE,885828460,309572,5,CMX-2,19140,0.67,221.71875,79.1064250978953
95,4559 PEARCE ST,WEISE EDWARD J TR        ,WEISE LINDA J H/W        ,VACANT LAND BILLBOARD,874532730,475487,7,RSA-5,19124,0.67,153.41796875,52.5963830765029
96,2518 RIDGE AVE,SNB INVESEMENT GROUP LLC ,,VAC LAND RES < ACRE,322219300,504231,5,RM-1,19121,0.5,164.47265625,64.2766347398045
97,2622 MANTON ST,TETE BROTHERS LLC,,VAC LAND RES < ACRE,362035700,409460,2,RM-1,19146,0.5,115.48046875,54.2009286115906
98,638 W YORK ST,ONE GIRARD PROPERTY LLC  ,,VAC LAND RES < ACRE,371355400,629071,5,CMX-2,19133,1,187.54296875,65.5406762388191
99,2311 N 27TH ST,EDWARD WILLIAMS,,VAC LAND RES < ACRE,281059420,679849,5,RSA-5,19132,1,1084.24609375,180.239406051272
100,5111 ARCH ST,QURAISHY MOHAMMED,QURAISHY KOCHAY,VAC LAND RES < ACRE,441019000,19507,3,RSA-5,19139,0.67,191.2578125,71.9348174302408
101,6121 HAZEL AVE,WALKER BERNICE,,VAC LAND RES < ACRE,032111600,338098,3,RM-1,19143,0.67,351.46484375,104.992717341693
102,3256 N CARLISLE ST,LIU LIJION               ,SHANG RUI                ,VAC LAND RES < ACRE,112156200,65249,8,RSA-5,19140,0.67,209.70703125,76.8713690296491
103,4053 OLIVE ST,MD PROPERTY LLC          ,,VAC LAND RES < ACRE,061142800,458635,3,RM-1,19104,0.67,144.84765625,60.1307347453893
104,917 N 45TH ST,PECNA PROPERTIES LLC     ,,VAC LAND RES < ACRE,062354100,687897,3,RM-1,19104,0.67,108.171875,51.185625914613
105,19 N PEACH ST,PHILADELPHIA LAND BANK   ,,VAC LAND RES < ACRE,441176200,474958,3,RSA-5,19139,0.5,170.07421875,67.8277370223583
106,2850 N PARK AVE,BCM FIRST INVESTMENT LLC ,,VAC LAND RES < ACRE,372282800,470061,5,RM-1,19132,0.5,139.984375,59.7364839617009
107,5215 BEAUMONT ST,CITY OF PHILADELPHIA     ,,ROW 2 STY MASONRY,511153700,31806,3,RSA-5,19143,0.5,141.35546875,57.8286715051093
108,3926 FOLSOM ST,PHILA HOUSING AUTHORITY,,VAC LAND RES < ACRE,243055810,293699,3,RSA-5,19104,1,140.91796875,62.5799364066199
109,2330 TURNER ST,ROACH JERRY              ,,VAC LAND RES < ACRE,291234900,579949,5,RM-1,19121,0.5,127.10546875,57.1021877143918
110,2743 N HICKS ST,BCM INVESTMENTS LLC      ,,VAC LAND RES < ACRE,111168600,342946,8,RSA-5,19132,0.67,111.73828125,50.083173764232
111,1824 N 24TH ST,PHILA HOUSING AUTHORITY,,VAC LAND RES < ACRE,322148001,676563,5,RSA-5,19121,1,189.40625,71.100587124724
112,2125 N LEITHGOW ST,PRUMA CARLOS             ,REINA H/W                ,VAC LAND RES < ACRE,191226000,388609,7,RSA-5,19122,1,100.8046875,42.0703590390305
113,2920 N RINGGOLD ST,PHILADELPHIA LAND BANK   ,,VAC LAND RES < ACRE,381024400,506229,4,RSA-5,19132,1,90.01953125,43.1219915333161
114,3107 CECIL B MOORE AVE,REDEVELOPMENT AUTHORITY,OF PHILA,VAC LAND RES < ACRE,324055600,71941,5,RSA-5,19121,0.5,281.19140625,94.2675737752919
115,1915 S 5TH ST,PRIME CONSTRUCTION SERVIC,,VAC LAND RES < ACRE,392272400,638716,1,RSA-5,19148,0.67,142.359375,57.2183845928913
116,2024 S 61ST ST,COMER LAWRENCE           ,,VAC LAND RES < ACRE,401146800,701248,2,RSA-5,19142,1,162.328125,63.3896183439493
117,739 W RUSSELL ST,LEE GERALDINE H,,VAC LAND RES < ACRE,431078410,521242,7,RSA-5,19140,0.67,112.98828125,51.182418564515
118,2701 EARP ST,PHILADELPHIA LAND BANK   ,,VAC LAND RES < ACRE,362102205,128497,2,,19146,0.5,126.49609375,52.3781263337789
119,1220 MONTROSE ST,KRUPNICK STEVEN,,PARKING LOT PRIVATE,021052400,436830,2,I-2,19147,0.5,212.55859375,79.0895942824385
120,710 E HILTON ST,19134 LLC                ,,VAC LAND RES < ACRE,331049500,344758,7,RSA-5,19134,1,112.0546875,51.7372656175207
121,2118 HAINES ST,REDEVELOPMENT AUTHORITY  ,OF PHILADELPHIA          ,VAC LAND RES < ACRE,102122515,329780,9,RSA-5,19138,1,455.94921875,129.001914224032
122,2718 W HARPER ST,EDWARDS MARTHA,,VAC LAND RES < ACRE,292018000,333765,5,RSA-5,19130,0.5,57.46875,33.3957504976057
123,2249 N 19TH ST,MCHUGH JOHN              ,,VAC LAND RES < ACRE,162072000,668134,5,RSA-5,19132,1,176.2265625,69.8477151054352
124,2113 E ANN ST,SYWULAK MARK GREGORY     ,SYWULAK DANIEL LEON      ,VAC LAND IND < ACRE,885325700,16872,1,ICMX,19134,0.67,863.60546875,150.810843469318
125,3406 N 17TH ST,CITY BLOCK ACQ VII LLC   ,,VAC LAND RES < ACRE,112234000,663445,8,RSA-5,19140,0.67,294.30078125,103.541368957197
126,4536 TACKAWANNA ST,LAGARES LUIS R,,VAC LAND RES < ACRE,232335600,563237,7,RSA-5,19124,0.5,330.328125,96.572968348146
127,2340 REED ST,NGUYEN DAVID L,,VAC LAND RES < ACRE,364004300,498169,2,RSA-5,19146,0.67,166.9140625,65.6513230662719
128,5945 RACE ST,A WILLIAMS PROPERTY MANAG,,VAC LAND RES < ACRE,042144100,494103,4,CMX-1,19139,1,154.61328125,62.6265955291322
129,905 W BOSTON ST,DAN CHONG LING           ,,VAC LAND RES < ACRE,371371500,730231,5,RM-1,19133,0.5,158.86328125,61.9108735070088
130,2223 N 27TH ST,PHILADELPHIA LAND BANK   ,,VAC LAND RES < ACRE,281058001,679833,5,RSA-5,19132,1,162.6796875,63.7515494881767
131,2322 N 27TH ST,HAMILTON WILLIE G,,VAC LAND RES < ACRE,281070101,679860,5,RSA-5,19132,0.5,207.97265625,76.1973190672717
132,2235 N LAWRENCE ST,PHILADELPHIA LAND BANK   ,,VAC LAND RES < ACRE,191253401,384480,7,RSA-5,19133,1,108.30078125,49.7703031378038
133,1942 N LEITHGOW ST,CHRISTIAN FLERX,HENRIETTA,VAC LAND RES < ACRE,183336200,388567,7,RSA-5,19122,0.5,72.984375,39.6079345900467
134,1228 N CONESTOGA ST,CITY OF PHILA,DEPT OF PUBLIC PROP,VAC LAND RES < ACRE,041146750,95557,4,RM-1,19131,0.67,482.43359375,112.862684939362
135,2722 W HUNTINGDON ST,PHILA HOUSING AUTHORITY  ,,VAC LAND RES < ACRE,281305301,354182,5,RSA-5,19132,0.5,174.4453125,71.9760467499158
136,661 UNION ST,REDEVELOPMENT AUTHORITY,OF PHILADELPHIA,VAC LAND RES < ACRE,242234210,582414,3,RSA-5,19104,0.67,200.5546875,75.3768208407437
137,2514 HARLAN ST,PHILA HOUSING AUTHORITY  ,,VAC LAND RES < ACRE,291127710,332783,5,RSA-5,19121,1,79.06640625,39.7595256158422
138,2303 N 22ND ST,FIVE TOWN LLC            ,,VAC LAND RES < ACRE,162209901,674090,5,RSA-5,19132,0.5,192.49609375,71.3389628908354
139,2852-54 W OAKDALE ST,PHILADELPHIA HOUSING AUTH,,VAC LAND RES < ACRE,281348500,454407,5,RSA-5,19132,0.5,230.625,62.2732067532723
140,13 S SICKELS ST,LOIS F GODFREY           ,MIRIAM HOLLANDER         ,VAC LAND RES < ACRE,603160500,536938,3,RM-1,19139,0.67,122.4921875,50.3385926853324
141,2518 N HOWARD ST,HOWARD STREET HOLDINGS LL,,VAC LAND RES < ACRE,192017500,731673,7,RM-1,19133,1,114.4375,52.1668023137303
142,3929 RENO ST,KIBBUTZ 4 LLC            ,,VAC LAND RES < ACRE,243135400,500978,3,RSA-5,19104,0.67,129.58203125,57.7745581356786
143,2847 BOUDINOT ST,PHILADELPHIA LAND BANK   ,,VAC LAND RES < ACRE,071476800,43844,7,RSA-5,19134,1,166.1484375,68.0192527029059
144,3615 N 15TH ST,CITY OF PHILADELPHIA     ,,VAC LAND RES < ACRE,131138200,658518,8,RSA-5,19140,0.67,714.44921875,162.791766826551
145,951 N 45TH ST,QUALITY HOME MAINTENANCE ,,VAC LAND RES < ACRE,062355800,687922,3,RM-1,19104,0.67,137.265625,58.4025188190306
146,1819R-31 WHARTON ST,PHOENIX HOLDINGS OF PHILA,,VAC LAND RES < ACRE,361108000,610177,2,RSA-5,19146,0.67,250.8046875,91.982333077801
147,3322 N 20TH ST,FELDER CHARLOTTE         ,,VAC LAND RES < ACRE,112286300,670443,8,RSA-5,19140,0.67,186.33203125,70.9943840289606
148,2614 PALETHORP ST,RAMOS CARMELIITA         ,,VAC LAND RES < ACRE,192061600,468479,7,RM-1,19133,0.83,91.92578125,47.7871715063943
149,2042 N 25TH ST,CITY OF PHILADELPHIA     ,,VAC LAND RES < ACRE,322182300,677991,5,RSA-5,19121,1,177.63671875,67.777242391151
150,1337 S WOODSTOCK ST,KSM INVESTMENTS AND JDMC,,VAC LAND RES < ACRE,361193820,624545,2,RSA-5,19146,0.67,111.375,47.6878074681558
151,5836 NORFOLK ST,CITY OF PHILA,,VAC LAND RES < ACRE,033045910,451781,3,RSA-5,19143,0.67,143.46484375,61.1261461427866
152,2936 FRENCH ST,MOORE JACQUELYN          ,,VAC LAND RES < ACRE,323153500,301670,5,RSA-5,19121,1,117.46484375,52.8466969530167
153,9655 MILNOR ST,CIARROCCHI PETER,,VAC LAND RESID. ACRE+,652429505,432541,6,RSD-1,19114,0.67,9537.828125,396.481937026866
154,4203 LEIDY AVE,STANTON RUBIN,,VAC LAND RES < ACRE,062199100,388127,3,RSA-5,19104,1,189.55859375,75.6430599179268
155,4722 N 13TH ST,ISAAC DEMETRIUS          ,,VAC LAND RES < ACRE,491513600,656474,8,RSA-5,19141,1,229.3359375,81.8100307595858
156,2533 N 23RD ST,CARTER DARLENE           ,,VAC LAND RES < ACRE,162225500,675521,5,RSA-5,19132,0.5,252.3203125,78.5604813462941
157,513 E INDIANA AVE,CASUL GILBERT            ,,VAC LAND RES < ACRE,071249500,356445,7,RSA-5,19134,0.67,82.234375,39.3549833964454
158,3301 N 17TH ST,SILVER MICHAEL,,VAC LAND RES < ACRE,112222900,663392,8,RSA-3,19140,0.67,279.5859375,97.1694643086123
159,5667 HEISKELL ST,HEARN EIGEME,,VAC LAND RES < ACRE,122171000,339530,8,RSA-5,19144,0.67,133.8828125,56.8331624534545
160,1937 NICHOLAS ST,CITY OF PHILA,DEPT PUB PROP,VAC LAND RES < ACRE,472052310,451099,5,RSA-5,19121,0.67,120.015625,54.4378451644107
161,3954 PARRISH ST,LEWIS DONALD,,VAC LAND RES < ACRE,243143100,471573,3,RSA-5,19104,0.67,261.90625,84.0342672189093
162,2023 N 25TH ST,PHILADELPHIA LAND INVESTM,,VAC LAND RES < ACRE,322179100,677975,5,RSA-5,19121,0.5,207.23828125,77.0116319620193
163,153 N SALFORD ST,JACKSON ALLISON S,,VAC LAND RES < ACRE,042124000,522714,4,RSA-5,19139,0.67,155.44921875,63.6980757227945
164,253 W STELLA ST,DEL VALLE MIRIAM         ,,VAC LAND RES < ACRE,192346800,552752,7,RSA-5,19133,0.67,102.11328125,50.1629361185329
165,3033 N AMERICAN ST,NORTH CITY PROPERTIES    ,INC                      ,VAC LAND RES < ACRE,193048700,14591,7,RSA-5,19133,0.67,101.9921875,50.1607347185054
166,2867 N 9TH ST,CITY OF PHILADELPHIA     ,,VAC LAND RES < ACRE,372139500,647752,5,RM-1,19133,0.67,153.28125,63.3435902548424
167,2633 N 29TH ST,CITY OF PHILA            ,,VAC LAND RES < ACRE,281171901,682316,5,RSA-5,19132,1,151.0625,68.8642992722785
168,2337 S 62ND ST,KMB PROPERTY GROUP LIMITE,,VAC LAND INDUS. ACRE+,885903780,702151,2,ICMX,19142,0.67,23373.515625,1221.19164092746
169,2412 MASCHER ST,PHILADELPHIA LAND BANK   ,,VAC LAND COMM. < ACRE,885203660,417994,7,RM-1,19133,0.5,89.8046875,46.4979570750289
170,2928 MASTER ST,PHILA HOUSING AUTHORITY,,VAC LAND RES < ACRE,292211710,419551,5,RSA-5,19121,0.5,127.90625,55.2156338220995
